DEBUG | 2024-10-03 14:55:11,727 | finish work, close connection
DEBUG | 2024-10-03 14:57:49,880 | number is found: 12356789
DEBUG | 2024-10-03 14:57:49,881 | finish work, close connection
DEBUG | 2024-10-03 14:57:49,881 | finish work, close connection
DEBUG | 2024-10-03 15:00:31,203 | number is found: 12356789
DEBUG | 2024-10-03 15:00:31,204 | number was found
DEBUG | 2024-10-03 15:00:31,204 | finish work, close connection
DEBUG | 2024-10-03 15:00:31,204 | finish work, close connection
DEBUG | 2024-10-03 15:03:05,679 | number is found: 12356789
DEBUG | 2024-10-03 15:03:05,679 | stop working
DEBUG | 2024-10-03 15:03:05,679 | close connection
DEBUG | 2024-10-03 15:03:05,679 | finish work, close connection
DEBUG | 2024-10-03 15:03:40,984 | number is found: 12356789
DEBUG | 2024-10-03 15:03:40,990 | stop working
DEBUG | 2024-10-03 15:03:40,991 | close connection
DEBUG | 2024-10-03 15:05:47,125 | stop working
DEBUG | 2024-10-03 15:05:47,125 | close connection
DEBUG | 2024-10-04 16:42:36,268 | close connection
DEBUG | 2024-10-04 16:44:36,234 | [ERROR] Connection with lost.
DEBUG | 2024-10-04 16:44:36,236 | close connection
DEBUG | 2024-10-04 16:44:36,236 | close connection
DEBUG | 2024-10-04 16:46:50,157 | [ERROR] Connection with lost.
DEBUG | 2024-10-04 16:46:50,157 | close connection
DEBUG | 2024-10-04 16:48:58,795 | number is found: 12356789
DEBUG | 2024-10-04 16:48:58,795 | stop working
DEBUG | 2024-10-04 16:48:58,795 | close connection
DEBUG | 2024-10-04 17:02:19,876 | number is found: 12356789
DEBUG | 2024-10-04 17:02:19,877 | stop working
DEBUG | 2024-10-04 17:02:19,877 | close connection
DEBUG | 2024-10-04 17:04:46,692 | stop working
DEBUG | 2024-10-04 17:04:46,692 | close connection
DEBUG | 2024-10-04 17:07:05,505 | number is found: 12356789
DEBUG | 2024-10-04 17:07:05,506 | stop working
DEBUG | 2024-10-04 17:07:05,507 | close connection
DEBUG | 2024-10-04 17:11:00,121 | number is found: 12356789
DEBUG | 2024-10-04 17:11:00,123 | stop working
DEBUG | 2024-10-04 17:11:00,123 | close connection
DEBUG | 2024-10-04 17:11:14,172 | [ERROR] Connection with lost.
DEBUG | 2024-10-04 17:11:14,172 | close connection
DEBUG | 2024-10-04 17:12:08,339 | close connection
DEBUG | 2024-10-04 19:03:41,219 | stop working
DEBUG | 2024-10-04 19:03:41,219 | close connection
