DEBUG | 2024-10-03 14:54:26,663 | *********************************************
DEBUG | 2024-10-03 14:54:26,664 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-03 14:54:30,243 | [NEW CONNECTION] ('127.0.0.1', 58851) connected.
DEBUG | 2024-10-03 14:54:30,243 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-03 14:54:32,830 | [NEW CONNECTION] ('127.0.0.1', 58852) connected.
DEBUG | 2024-10-03 14:54:32,830 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-03 14:55:11,727 | result12356789
DEBUG | 2024-10-03 14:57:26,961 | *********************************************
DEBUG | 2024-10-03 14:57:26,961 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-03 14:57:28,552 | [NEW CONNECTION] ('127.0.0.1', 58863) connected.
DEBUG | 2024-10-03 14:57:28,553 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-03 14:57:30,944 | [NEW CONNECTION] ('127.0.0.1', 58864) connected.
DEBUG | 2024-10-03 14:57:30,944 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-03 14:57:49,880 | result: 12356789
DEBUG | 2024-10-03 14:59:48,817 | *********************************************
DEBUG | 2024-10-03 14:59:48,817 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-03 14:59:50,808 | [NEW CONNECTION] ('127.0.0.1', 58870) connected.
DEBUG | 2024-10-03 14:59:50,808 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-03 14:59:52,624 | [NEW CONNECTION] ('127.0.0.1', 58871) connected.
DEBUG | 2024-10-03 14:59:52,624 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-03 15:00:31,204 | result: 12356789
DEBUG | 2024-10-03 15:02:42,642 | *********************************************
DEBUG | 2024-10-03 15:02:42,642 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-03 15:02:44,089 | [NEW CONNECTION] ('127.0.0.1', 58880) connected.
DEBUG | 2024-10-03 15:02:44,089 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-03 15:02:46,158 | [NEW CONNECTION] ('127.0.0.1', 58881) connected.
DEBUG | 2024-10-03 15:02:46,158 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-03 15:03:05,679 | result: 12356789
DEBUG | 2024-10-03 15:03:18,654 | *********************************************
DEBUG | 2024-10-03 15:03:18,654 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-03 15:03:20,114 | [NEW CONNECTION] ('127.0.0.1', 58882) connected.
DEBUG | 2024-10-03 15:03:20,114 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-03 15:03:21,693 | [NEW CONNECTION] ('127.0.0.1', 58883) connected.
DEBUG | 2024-10-03 15:03:21,693 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-03 15:03:40,989 | result: 12356789
DEBUG | 2024-10-03 15:05:25,228 | *********************************************
DEBUG | 2024-10-03 15:05:25,228 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-03 15:05:27,188 | [NEW CONNECTION] ('127.0.0.1', 58890) connected.
DEBUG | 2024-10-03 15:05:27,188 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-03 15:05:29,289 | [NEW CONNECTION] ('127.0.0.1', 58891) connected.
DEBUG | 2024-10-03 15:05:29,289 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-03 15:05:47,125 | result is 12356789
DEBUG | 2024-10-04 16:42:34,451 | *********************************************
DEBUG | 2024-10-04 16:42:34,451 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-04 16:42:36,267 | [NEW CONNECTION] ('127.0.0.1', 54023) connected.
DEBUG | 2024-10-04 16:42:36,267 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-04 16:43:50,813 | *********************************************
DEBUG | 2024-10-04 16:43:50,814 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-04 16:43:52,610 | [NEW CONNECTION] ('127.0.0.1', 54038) connected.
DEBUG | 2024-10-04 16:43:52,610 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-04 16:43:54,933 | [NEW CONNECTION] ('127.0.0.1', 54045) connected.
DEBUG | 2024-10-04 16:43:54,933 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-04 16:45:08,936 | *********************************************
DEBUG | 2024-10-04 16:45:08,936 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-04 16:45:10,607 | [NEW CONNECTION] ('127.0.0.1', 54063) connected.
DEBUG | 2024-10-04 16:45:10,607 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-04 16:45:12,768 | [NEW CONNECTION] ('127.0.0.1', 54064) connected.
DEBUG | 2024-10-04 16:45:12,768 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-04 16:47:01,783 | *********************************************
DEBUG | 2024-10-04 16:47:01,784 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-04 16:47:03,363 | [NEW CONNECTION] ('127.0.0.1', 54069) connected.
DEBUG | 2024-10-04 16:47:03,363 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-04 16:47:05,464 | [NEW CONNECTION] ('127.0.0.1', 54071) connected.
DEBUG | 2024-10-04 16:47:05,464 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-04 16:48:58,795 | result is 12356789
DEBUG | 2024-10-04 17:02:09,704 | *********************************************
DEBUG | 2024-10-04 17:02:09,704 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-04 17:02:11,909 | [NEW CONNECTION] ('127.0.0.1', 54175) connected.
DEBUG | 2024-10-04 17:02:11,909 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-04 17:02:14,607 | [NEW CONNECTION] ('127.0.0.1', 54176) connected.
DEBUG | 2024-10-04 17:02:14,607 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-04 17:02:19,876 | result is 12356789
DEBUG | 2024-10-04 17:04:33,225 | *********************************************
DEBUG | 2024-10-04 17:04:33,226 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-04 17:04:35,155 | [NEW CONNECTION] ('127.0.0.1', 54196) connected.
DEBUG | 2024-10-04 17:04:35,155 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-04 17:04:37,152 | [NEW CONNECTION] ('127.0.0.1', 54197) connected.
DEBUG | 2024-10-04 17:04:37,152 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-04 17:04:46,688 | result is 12356789
DEBUG | 2024-10-04 17:06:56,203 | *********************************************
DEBUG | 2024-10-04 17:06:56,203 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-04 17:06:57,821 | [NEW CONNECTION] ('127.0.0.1', 54206) connected.
DEBUG | 2024-10-04 17:06:57,821 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-04 17:06:59,978 | [NEW CONNECTION] ('127.0.0.1', 54207) connected.
DEBUG | 2024-10-04 17:06:59,978 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-04 17:07:05,505 | result is 12356789
DEBUG | 2024-10-04 17:10:44,615 | *********************************************
DEBUG | 2024-10-04 17:10:44,615 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-04 17:10:48,448 | [NEW CONNECTION] ('127.0.0.1', 54225) connected.
DEBUG | 2024-10-04 17:10:48,448 | [ACTIVE CONNECTIONS] 1
